"Story","Title","Result","Date","Stability","Duration (s)"
"To check Accept Change Request functionality","To accept a change request of booking from Ops portal","SUCCESS","2019-01-02T12:15:03.083+05:00","0.0","12.43"
"To check Booking Accept and Reject functionality","To accept or reject a booking from Ops portal","FAILURE","2019-01-02T12:15:22.420+05:00","0.0","2.25"
"To check the functionality of Create Booking Change Request","To create light weight booking change request","SUCCESS","2019-01-02T12:15:25.427+05:00","0.0","6.43"
"To check the functionality of Create Booking","To create light weight booking from ops","SUCCESS","2019-01-02T12:15:34.707+05:00","0.0","2.38"
"To check the functionality Get Partner Cancel Booking List","To get the partner cancel booking list","SUCCESS","2019-01-02T12:15:43.016+05:00","0.0","2.2"
"To check the functionality Get Partner New Booking List","To get the partner new booking list","SUCCESS","2019-01-02T12:15:45.714+05:00","0.0","2.21"
"To validate the functionality of Customer Registration in Ops Portal","To register a customer in Ops Portal","SUCCESS","2019-01-02T12:15:37.332+05:00","0.0","2.26"
"To check Reject Change Request functionality","To reject a change request of booking from Ops portal","SUCCESS","2019-01-02T12:15:54.085+05:00","0.0","2.3"
"To check update booking event status functionality","To update booking event status from Ops Portal","FAILURE","2019-01-02T12:15:56.835+05:00","0.0","2.11"
"To check Allocated Partner functionality","To verify allocated partner to the newly created booking from Ops portal","SUCCESS","2019-01-02T12:15:19.935+05:00","0.0","2.33"
"To check Pending Confirmation list in OPS","When Booking gets confirm, and event date passes then that particular event should be in Pending Confimation grid in Ops","SUCCESS","2019-01-02T12:15:51.488+05:00","0.0","2.15"
"To check the functionality Get Planned Jobs","When Booking gets confirm, we need to check accepted booking planned events in planned jobs in Ops","SUCCESS","2019-01-02T12:15:48.720+05:00","0.0","2.31"
"To check the functionality Get Accepted Booking List","When Booking gets confirm, we need to check booking accepted booking list in Ops","PENDING","2019-01-02T12:15:39.902+05:00","0.0","0.0"
"To check the functionality Get Booking details","When Booking gets confirm, we need to check booking details in Ops","SUCCESS","2019-01-02T12:15:40.252+05:00","0.0","2.36"
"To check the functionality Change Request list","When Change request has been created then it should appear in Chanage Request grid in Ops","SUCCESS","2019-01-02T12:15:32.009+05:00","0.0","2.5"
